the_geom,sector,reporting_,county,landfill_n,permit_num,cartodb_id,address,city,zip_code,latitude,longitude,tipping_fe
0101000020E610000002DCEFCC4F6954C09FF7E412D9E23F40,Public,2015,Liberty,Fort Stewart Yard Waste Inert Landfill,PBR-089-15IL,41,"East of SR 144, north of main post area at Fort Stewart",Fort Stewart,31314,31.886124,-81.645492,
0101000020E6100000E44D8C0BFDD354C05EAE0BB3E0EF3E40,Private,2015,Lowndes,"Reames and Son Construction Co., Inc. Inert Landfill",PBR-092-05IL,42,Lucas-Richardson Road,Valdosta,31603,30.937025,-83.312319,
0101000020E61000008C108B11EFC854C0FFB09D2D51C63E40,Private,2015,Lowndes,"Reames and Son Construction Co., Inc. Inert Landfill",PBR-092-13IL,43,Boring Pond Road off 94 East,Valdosta,31603,30.774678,-83.139594,
0101000020E610000081EC475276D454C07AD069E7DEAC3E40,Public,2015,Lowndes,Lowndes Co. Board of Commissioners-Clyattville Inert Landfill,PBR-092-14IL-A,44,550 Industrial Blvd.,Valdosta,31601,30.675278,-83.319722,
0101000020E610000046EC5B0775FF54C092B1CE7FF6394140,Private,2015,Lumpkin,"400 North Landfill, LLC Inert Landfill",PBR-093-05IL,45,2059 Burnt Stand Rd.,Dawsonville,30534,34.452834,-83.99152,
0101000020E61000009A9B15646BD254C01B5CFF5B451B4140,Private,2015,Madison,Highway 106 Inert Landfill,PBR-095-08IL,46,488 Providence Church Rd.,Danielsville,30633,34.213053,-83.287806,
0101000020E6100000AA1D1BBFCAA454C0379815544FB94040,Public,2015,McDuffie,McDuffie Co. Inert Landfill,PBR-097-07IL,47,Mesena Road,Thomson,30824,33.447731,-82.574875,
0101000020E6100000E240C11856FA54C093B3C850748C4040,Public,2015,Monroe,Monroe Co.-Strickland Loop Road MSW Inert Landfill,PBR-102-24IL,48,Strickland Road East,Forsyth,31029,33.0973,-83.911506,
0101000020E6100000023BF01C334055C09CD8F7DAE9464040,Public,2015,Muscogee,River Road Inert Landfill,PBR-106-03IL,49,7589 River Rd.,Columbus,31904,32.554011,-85.003117,
0101000020E6100000AE8230C05BD054C083D6C6D600F64040,Private,2015,Oglethorpe,"Shealy Farms, Inc. Inert Landfill",PBR-109-01IL,50,P.O. Box 407,Winterville,30683,33.9219,-83.2556,
